timestamp,avg_air_temp,avg_wind_speed,avg_global_rad,avg_cell_rad,avg_surface_temp
01-01-2023 00:00,9.610000000000001,0.0,0.0,0.25571428571428584,8.427142857142858
01-01-2023 01:00,9.737142857142857,0.0,0.0,0.27678571428571436,8.762142857142857
01-01-2023 02:00,9.590714285714286,0.0,0.017142857142857144,0.2992857142857143,8.515714285714285
01-01-2023 03:00,9.907142857142857,0.0,0.34464285714285714,0.2742857142857143,9.815
01-01-2023 04:00,9.793571428571429,0.0,0.26392857142857146,0.29142857142857154,9.839285714285712
01-01-2023 05:00,9.850714285714284,0.1357142857142857,0.30142857142857143,0.28500000000000003,9.916428571428572
01-01-2023 06:00,9.76,0.1357142857142857,0.2607142857142857,0.28785714285714287,9.810714285714285
01-01-2023 07:00,9.885000000000002,0.18928571428571428,1.649642857142857,1.725357142857143,9.975714285714286
01-01-2023 08:00,9.935714285714287,0.1357142857142857,20.136428571428578,20.21392857142857,10.481428571428571
01-01-2023 09:00,10.108571428571429,0.18928571428571428,55.938214285714295,55.70464285714286,11.387857142857142
01-01-2023 10:00,10.388571428571428,0.18928571428571428,103.26535714285713,98.78571428571426,13.245714285714286
01-01-2023 11:00,11.042857142857143,0.8785714285714284,158.30607142857139,151.78892857142856,15.895000000000001
01-01-2023 12:00,12.777857142857142,0.825,523.0182142857142,477.88785714285723,27.805714285714284
01-01-2023 13:00,16.193571428571428,1.4714285714285713,544.7114285714285,493.24928571428563,34.35785714285714
01-01-2023 14:00,18.17142857142857,0.8928571428571427,433.80821428571426,392.65321428571417,33.448571428571434
01-01-2023 15:00,19.599285714285713,1.0285714285714282,300.6346428571428,265.71964285714284,30.270714285714288
01-01-2023 16:00,18.129285714285714,0.757142857142857,134.50178571428572,117.79607142857142,22.045714285714286
01-01-2023 17:00,15.888571428571426,0.20357142857142854,16.096428571428568,17.85357142857143,14.49
01-01-2023 18:00,13.851428571428572,0.18928571428571428,0.0,0.14535714285714288,11.302142857142856
01-01-2023 19:00,12.495000000000001,0.44642857142857145,0.0,0.1796428571428572,10.185714285714285
01-01-2023 20:00,11.572857142857146,0.0,0.0,0.18321428571428575,9.241428571428571
